"Block","Year","BAM","BAPERCM","A_BA","B_BA","Cr_BA","F_BA","Fr_BA","I_BA","PM_BA","Q_BA","Sc_BA","T_BA"
1,1964,25.0011870363493,0,0,9.61916400621025,0,0,0,0,0,15.382023030139,0,0
1,1984,29.192758859631,0.167654912432263,0,11.575296306922,0,0,0,0,0,17.617462552709,0,0
1,1988,17.1261370966417,-0.31498704154559,0,8.95387285695035,0,0,0,0,0,8.1722642396913,0,0
1,1996,15.5678482355989,-0.377315636534988,0,8.65848460769658,0,0,0,0,0,6.90936362790229,0,0
1,2014,17.5494685114236,-0.298054588931782,0,9.65916329908317,0,0,0,0,0,7.89030521234042,0,0
2,1964,35.3036474447153,0,0,7.27671398387736,0,14.6417852611369,0,0.502654824574367,0,12.8824933751266,0,0
2,1984,43.5380759490395,0.233245828698554,0,7.81141305351834,0,21.4232860680381,0,0.316692174435936,0,13.9866846530471,0,0
2,1988,44.6795147348591,0.26557786429366,0,8.2194470343574,0,22.1141026576084,0,0.259672267773281,0,14.08629277512,0,0
2,1996,37.5800847514146,0.0644816462736374,0,0,0,23.2408348628184,0,0.352565235549115,0,13.9866846530471,0,0
2,2014,46.0154735281222,0.303419812363054,0,0,0,30.0928174347508,0,1.20400663050987,0,14.7186494628615,0,0
3,1964,48.8714007174062,0,0,0,0,10.4634670318625,0,1.36855629972005,0,37.0393773858237,0,0
3,1984,52.9953497588195,0.0843836882282042,0,0,0,13.9866846530471,0,0.541060794764502,0,38.4676043110078,0,0
3,1988,52.3776341033074,0.0717440739252711,0,0,0,14.1862543263664,0,0,0,38.1913797769409,0,0
3,1996,43.5856318078332,-0.108156689433507,0,0,0,13.9866846530471,0,0.204282062299676,0,29.3946650924864,0,0
3,2014,33.3048157134579,-0.318521359638544,0,0,0,15.0451161608443,0,0.933891538776119,0,17.3258080138375,0,0
4,1964,73.1873278561912,0,0,0,0,37.4674193848753,0,1.94189695900019,0,33.7780115123158,0,0
4,1984,68.9533052621778,-0.0578518538391371,0,0,0,42.4273855013169,0,0.560793923619863,0,25.965125837241,0,0
4,1988,65.1629933605758,-0.109641036647529,0,0,0,42.0467619163804,0,0,0,23.1162314441954,0,0
