Date,Year,Month,MAXT,MINT,PRECIP,Ta,Fm,RAINm,SNOWm,PACKm-1,MELTm,PACKm,Wm,Days,Daylength,Ea,SLOPE,ASPECT,LAT,Af,SlopRad,AfRad,LatRad,HL,PETm,SOILmax,SOILm-1,SOILm,deltSOIL,deltSOIL+Wm,AET,PETm,Wm,CWD
1957_1,1957,1,9.1,2.5,73,5.8,0.966666663,70.56666638,2.433333616,0,2.352222486,0.08111113,72.91888887,31,8.575994,0.875450435,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,12.2171254,150,0,60.70176347,0,72.91888887,12.2171254,12.2171254,72.91888887,0
1957_2,1957,2,9.6,2.7,100.5,6.15,1,100.5,0,0.08111113,0.08111113,0,100.5811111,28,10.021738,0.894230217,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,13.949048,150,60.70176347,147.3338266,108.1500741,208.7311852,13.949048,13.949048,100.5811111,0
1957_3,1957,3,12.9,5.5,61.3,9.2,1,61.3,0,0,0,0,61.3,31,11.819653,1.073516184,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,32.35694728,150,147.3338266,150,178.6903869,239.9903869,32.35694728,32.35694728,61.3,0
1957_4,1957,4,14.2,4.4,5.5,9.3,1,5.5,0,0,0,0,5.5,30,13.758759,1.079894989,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,37.05236936,150,150,118.4476306,121.5451945,127.0451945,37.05236936,37.05236936,5.5,0
1957_5,1957,5,16.1,5.5,43.7,10.8,1,43.7,0,0,0,0,43.7,31,15.514859,1.179663236,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,54.48077073,150,118.4476306,107.6668599,110.2333103,153.9333103,54.48077073,54.48077073,43.7,0
1957_6,1957,6,22.2,8.8,26.4,15.5,1,26.4,0,0,0,0,26.4,30,16.439262,1.546757065,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,103.414953,150,107.6668599,30.65190688,64.43189724,90.83189724,90.83189724,103.414953,26.4,12.58305578
1957_7,1957,7,21.6,12.9,77.2,17.25,1,77.2,0,0,0,0,77.2,31,15.868332,1.707105206,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,125.9344727,150,30.65190688,0,22.14913383,99.34913383,99.34913383,125.9344727,77.2,26.58533883
1957_8,1957,8,20.6,11.7,73.4,16.15,1,73.4,0,0,0,0,73.4,31,14.198074,1.604700252,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,99.54218561,150,0,0,0,73.4,73.4,99.54218561,73.4,26.14218561
1957_9,1957,9,17.8,9.6,76.6,13.7,1,76.6,0,0,0,0,76.6,30,12.243238,1.395772936,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,61.81503786,150,0,14.78496214,0,76.6,61.81503786,61.81503786,76.6,0
1957_10,1957,10,15.9,6.6,59.1,11.25,1,59.1,0,0,0,0,59.1,31,10.329918,1.211133663,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,38.73180396,150,14.78496214,35.15315818,16.93527232,76.03527232,38.73180396,38.73180396,59.1,0
1957_11,1957,11,9.7,3.1,65.2,6.4,1,65.2,0,0,0,0,65.2,30,8.730765,0.907860958,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,13.74369632,150,35.15315818,86.60946186,49.53881419,114.7388142,13.74369632,13.74369632,65.2,0
1957_12,1957,12,8.6,0.5,74.1,4.55,0.75833333,56.19249978,17.90750022,0,13.57985428,4.327645942,69.77235406,31,7.996774,0.811187562,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,8.318057995,150,86.60946186,148.0637579,130.4649197,200.2372738,8.318057995,8.318057995,69.77235406,0
1958_1,1958,1,7.8,0.5,113.4,4.15,0.691666664,78.43499969,34.96500031,4.327645942,27.17741355,12.1152327,105.6124132,31,8.575994,0.791521945,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,7.950521923,150,148.0637579,150,283.9284453,389.5408585,7.950521923,7.950521923,105.6124132,0
1958_2,1958,2,9.8,2.7,68.2,6.25,1,68.2,0,12.1152327,12.1152327,0,80.3152327,29,10.021738,0.899660704,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,14.7660204,150,150,150,232.2071922,312.5224249,14.7660204,14.7660204,80.3152327,0
1958_3,1958,3,8.4,0.5,46.4,4.45,0.741666664,34.4133332,11.9866668,0,8.890111178,3.096555627,43.30344437,31,11.819653,0.806231164,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,11.95515179,150,150,150,184.8646455,228.1680899,11.95515179,11.95515179,43.30344437,0
1958_4,1958,4,12.2,2.2,20.1,7.2,1,20.1,0,3.096555627,3.096555627,0,23.19655563,30,13.758759,0.95271852,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,25.49693086,150,150,147.6996248,147.717174,170.9137297,25.49693086,25.49693086,23.19655563,0
1958_5,1958,5,15.8,7,56.3,11.4,1,56.3,0,0,0,0,56.3,31,15.514859,1.221786673,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,59.43543479,150,147.6996248,144.56419,144.6443181,200.9443181,59.43543479,59.43543479,56.3,0
1958_6,1958,6,18.1,9.9,100.2,14,1,100.2,0,0,0,0,100.2,30,16.439262,1.419999392,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,86.20000467,150,144.56419,150,158.7065552,258.9065552,86.20000467,86.20000467,100.2,0
1958_7,1958,7,20.5,11.7,41.3,16.1,1,41.3,0,0,0,0,41.3,31,15.868332,1.600176425,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,110.6143161,150,150,80.68568387,94.49433194,135.7943319,110.6143161,110.6143161,41.3,0
1958_8,1958,8,19.7,12.3,89.4,16,1,89.4,0,0,0,0,89.4,31,14.198074,1.591162336,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,97.83636711,150,80.68568387,72.24931676,76.27297738,165.6729774,97.83636711,97.83636711,89.4,0
1958_9,1958,9,19.5,11.2,123.8,15.35,1,123.8,0,0,0,0,123.8,30,12.243238,1.533649392,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,75.66649217,150,72.24931676,120.3828246,99.5851366,223.3851366,75.66649217,75.66649217,123.8,0
1958_10,1958,10,15.3,8.4,89.3,11.85,1,89.3,0,0,0,0,89.3,31,10.329918,1.254241862,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,42.16071657,150,120.3828246,150,164.8339757,254.1339757,42.16071657,42.16071657,89.3,0
1958_11,1958,11,10.3,3.5,69.1,6.9,1,69.1,0,0,0,0,69.1,30,8.730765,0.93567312,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,15.24410094,150,150,150,214.7929672,283.8929672,15.24410094,15.24410094,69.1,0
1958_12,1958,12,9,2.4,110.5,5.7,0.949999996,104.9749996,5.52500042,0,5.248750378,0.276250042,110.22375,31,7.996774,0.870149074,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,11.13176374,150,150,150,290.396879,400.6206289,11.13176374,11.13176374,110.22375,0
1959_1,1959,1,6.9,-1,93.7,2.95,0.491666665,46.06916648,47.63083352,0.276250042,23.55431599,24.35276757,69.62348247,31,8.575994,0.735026049,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,5.270984897,150,150,150,230.3619908,299.9854732,5.270984897,5.270984897,69.62348247,0
1959_2,1959,2,7.4,0.9,7.3,4.15,0.691666664,5.049166646,2.250833354,24.35276757,18.4008239,8.202777025,23.44999055,28,10.021738,0.791521945,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,8.391711663,150,150,150,165.8400584,189.2900489,8.391711663,8.391711663,23.44999055,0
