,Tree_ID,Year,Dist_west,Dist_south,Sp,Sp_code,En.Un,Block_new,Lat,Long,Class,Status2,DBH.y,DBH_mean
1,1,1959,1.3,16.4,B,4,Enclosed,0,50.86060541,-1.531706688,NA,1,35,35
5,1,1964,1.3,16.4,B,4,Enclosed,0,50.86060541,-1.531706688,40,1,NA,37
6,1,1984,1.3,16.4,B,4,Enclosed,0,50.86060541,-1.531706688,40,1,NA,39
13,10,1959,15.8,7,Q,2,Enclosed,0,50.86069001,-1.531837188,30,1,28,28
14,10,1964,15.8,7,Q,2,Enclosed,0,50.86069001,-1.531837188,40,1,NA,30
15,10,1984,15.8,7,Q,2,Enclosed,0,50.86069001,-1.531837188,40,1,NA,31
16,10,1988,15.8,7,Q,2,Enclosed,0,50.86069001,-1.531837188,40,1,NA,32.1
17,10,1996,15.8,7,Q,2,Enclosed,0,50.86069001,-1.531837188,40,0,NA,31.8
24,100,1984,18.4,55.5,I,3.03,Enclosed,2,50.86025351,-1.531860588,10,1,NA,5
25,100,1988,18.4,55.5,I,3.03,Enclosed,2,50.86025351,-1.531860588,10,1,NA,6.1
26,100,1996,18.4,55.5,I,3.03,Enclosed,2,50.86025351,-1.531860588,10,1,NA,7
27,100,2014,18.4,55.5,I,NA,Enclosed,2,50.86058741,-1.532194488,10,1,NA,9.230986699
30,1000,1959,7,559.3,F,1,Enclosed,27,50.8557193,-1.531757988,10,1,0.2,0.2
37,1000U,1959,10.2,279.6,I,NA,Unenclosed,64,50.85226917,-1.528763597,10,1,2,2
43,1001,1959,7.5,557.8,F,1,Enclosed,27,50.8557328,-1.531762488,40,1,37,37
44,1001,1964,7.5,557.8,F,1,Enclosed,27,50.8557328,-1.531762488,40,1,NA,37
45,1001,1984,7.5,557.8,F,1,Enclosed,27,50.8557328,-1.531762488,50,1,NA,44.6
46,1001,1988,7.5,557.8,F,1,Enclosed,27,50.8557328,-1.531762488,50,0,NA,45
