Block,Year,A,B,Cr,F,Fr.x,I,PM,Q,Sc,T,Sorensen_BA,A.x,B.x,Cr.x,F.x,I.x,PM.x,Q.x,Sc.x,T.x,Sorensen.x,A.y,B.y,Cr.y,F.y,Fr.y,I.y,PM.y,Q.y,Sc.y,T.y,Sorensen.SD,SDM,BAM,BAFM,BAQM,SPRM,LightM,MoistM,NitM,SDS,BAS,BAFS,BAQS,SPRS,LightS,MoistS,NitS,BAPERCM,BARAWM,BAFPERCM,BAFRAWM,BAQPERCM,BAQRAWM,BAQFPERCM,BAQFRAWM,SDPERCM,SDRAWM,SPRPERCM,SPRRAWM,BAPERCS,BARAWS,BAFPERCS,BAFRAWS,BAQPERCS,BAQRAWS,BAQFPERCS,BAQFRAWS,SDPERCS,SDRAWS,SPRPERCS,SPRRAWS,LightPercM,LightRawM,MoistPercM,MoistRawM,NitPercM,NitRawM,LightPercS,LightRawS,MoistPercS,MoistRawS,NitPercS,NitRawS,Northing,Easting
1,1964,0,9.6191640062,0,0,0,0,0,15.3820230301,0,0,1,0,0,0,3,0,0,0,0,0,1,0,3,0,3,0,0,0,5,0,0,1,11,25.0011870363,0,15.3820230301,3,5,2.7694965837,1,3,0.005144358,0.005144358,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106909,433056
1,1984,0,11.5752963069,0,0,0,0,0,17.6174625527,0,0,0.9226560872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0,0,0,0,5,0,0,0.8421052632,8,29.1927588596,0,17.6174625527,2,5,2.7930251719,1,NA,NA,NA,NA,NA,NA,NA,NA,0.1676549124,4.1915718233,0,0,0.1453280572,2.2354395226,0.1453280572,2.2354395226,-0.2727272727,-3,-0.3333333333,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0084956192,0.0235285883,0,0,NA,NA,NA,NA,NA,NA,106909,433056
1,1988,0,8.953872857,0,0,0,0,0,8.1722642397,0,0,0.8130655079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,0,4,0,0,0.7058823529,6,17.1261370966,0,8.1722642397,2,5,3.0456383487,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.3149870415,-7.8750499397,0,0,-0.468713301,-7.2097587904,-0.468713301,-7.2097587904,-0.4545454545,-5,-0.3333333333,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0997082887,0.2761417651,0,0,NA,NA,NA,NA,NA,NA,106909,433056
1,1996,0,8.6584846077,0,0,0,0,0,6.9093636279,0,0,0.7674744115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,0,3,0,0,0.625,5,15.5678482356,0,6.9093636279,2,5,3.112354704,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.3773156365,-9.4333388008,0,0,-0.5508156753,-8.4726594022,-0.5508156753,-8.4726594022,-0.5454545455,-6,-0.3333333333,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77635683940025E-016,8.88178419700125E-016,0.1237979936,0.3428581203,0,0,NA,NA,NA,NA,NA,NA,106909,433056
1,2014,0,9.6591632991,0,0,0,0,0,7.8903048025,0,0,0.822994088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,0,3,0,0,0.625,5,17.5494681016,0,7.8903048025,2,5,3.1007927127,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.2980546053,-7.4517189347,0,0,-0.4870437531,-7.4917182276,-0.4870437531,-7.4917182276,-0.5454545455,-6,-0.3333333333,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1196232308,0.331296129,0,0,NA,NA,NA,NA,NA,NA,106909,433056
2,1964,0,7.2767139839,0,14.6417852611,0,0.5026548246,0,12.8824933751,0,0,1,5,0,0,0,0,0,0,0,0,1,5,2,0,3,0,1,0,1,0,0,1,12,35.3036474447,14.6417852611,12.8824933751,5,3.3125695217,2.4122358176,1.4289766407,5,0.0310428624,0,0,1,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106885,433058
2,1984,0,7.8114130535,0,21.423286068,0,0.3166921744,0,13.986684653,0,0,0.8908401106,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,2,0,1,0,0,0.6666666667,9,43.538075949,21.423286068,13.986684653,4,3.0172176482,2.3588313394,1.4993325444,1,0.096211275,0,0,1,3,5,5,0.2332458287,8.2344285043,0.4631607885,6.7815008069,0.0857125438,1.1041912779,0.2864995006,7.8856920848,-0.25,-3,-0.2,-1,2.0993042378,0.0651684126,0,0,0,0,0,0,-0.8,-4,0,0,-0.0891609584,-0.2953518734,-0.0221389956,-0.0534044782,0.0492351671,0.0703559037,0.5,1,0.25,1,1.77635683940025E-016,8.88178419700125E-016,106885,433058
2,1988,0,8.2194470344,0,22.1141026576,0,0.2596722678,0,14.0862927751,0,0,0.8767011439,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,2,0,1,0,0,0.6666666667,9,44.6795147349,22.1141026576,14.0862927751,4,3.0085783005,2.3679291095,1.5007613681,1,0.1288249338,0,0,1,3,5,5,0.2655778643,9.3758672901,0.5103419606,7.4723173965,0.0934445969,1.2037994,0.315216864,8.6761167965,-0.25,-3,-0.2,-1,3.1499051233,0.0977820713,0,0,0,0,0,0,-0.8,-4,0,0,-0.0917690087,-0.3039912212,-0.0183674862,-0.0443067081,0.0502350601,0.0717847274,0.5,1,0.25,1,1.77635683940025E-016,8.88178419700125E-016,106885,433058
2,1996,0,0,0,23.2408348628,0,0.3525652355,0,13.986684653,0,0,0.7649675183,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0.5,8,37.5800847514,23.2408348628,13.986684653,3,2.5074971081,2,1.627816575,2,0.1417643685,0,0,1,3,5,5,0.0644816463,2.2764373067,0.5872951589,8.5990496017,0.0857125438,1.1041912779,0.352533885,9.7032408796,-0.3333333333,-4,-0.4,-2,3.5667299178,0.1107215061,0,0,0,0,0,0,-0.6,-3,0,0,-0.2430356279,-0.8050724136,-0.1708936641,-0.4122358176,0.1391484848,0.1988399343,0.5,1,0.25,1,1.77635683940025E-016,8.88178419700125E-016,106885,433058
2,2014,0,0,0,30.0928286414,0,1.2040066305,0,14.7186494629,0,0,0.6893072444,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0.5,8,46.0154847347,30.0928286414,14.7186494629,3,2.3317823656,2,1.6801370333,1,0.1673116448,0,0,1,3,5,5,0.3034201298,10.71183729,1.055270454,15.4510433802,0.1425311106,1.8361560877,0.6280709368,17.287199468,-0.3333333333,-4,-0.4,-2,4.3896977226,0.1362687824,0,0,0,0,0,0,-0.8,-4,0,0,-0.2960804746,-0.9807871561,-0.1708936641,-0.4122358176,0.17576242,0.2511603926,0.5,1,0.25,1,1.77635683940025E-016,8.88178419700125E-016,106885,433058
