"Block","Year","Easting","Northing","Transect"
1,1954,433056,106909,"Enclosed"
1,1956,433056,106909,"Enclosed"
1,1958,433056,106909,"Enclosed"
1,1959,433056,106909,"Enclosed"
1,1964,433056,106909,"Enclosed"
1,1984,433056,106909,"Enclosed"
1,1988,433056,106909,"Enclosed"
1,1996,433056,106909,"Enclosed"
1,2014,433056,106909,"Enclosed"
2,1954,433058,106885,"Enclosed"
2,1956,433058,106885,"Enclosed"
2,1958,433058,106885,"Enclosed"
2,1959,433058,106885,"Enclosed"
2,1964,433058,106885,"Enclosed"
2,1984,433058,106885,"Enclosed"
2,1988,433058,106885,"Enclosed"
2,1996,433058,106885,"Enclosed"
2,2014,433058,106885,"Enclosed"
3,1954,433049,106868,"Enclosed"
3,1956,433049,106868,"Enclosed"
3,1958,433049,106868,"Enclosed"
3,1959,433049,106868,"Enclosed"
3,1964,433049,106868,"Enclosed"
3,1984,433049,106868,"Enclosed"
3,1988,433049,106868,"Enclosed"
3,1996,433049,106868,"Enclosed"
3,2014,433049,106868,"Enclosed"
4,1954,433053,106848,"Enclosed"
4,1956,433053,106848,"Enclosed"
4,1958,433053,106848,"Enclosed"
4,1959,433053,106848,"Enclosed"
4,1964,433053,106848,"Enclosed"
4,1984,433053,106848,"Enclosed"
4,1988,433053,106848,"Enclosed"
4,1996,433053,106848,"Enclosed"
4,2014,433053,106848,"Enclosed"
5,1954,433045,106828,"Enclosed"
5,1956,433045,106828,"Enclosed"
5,1958,433045,106828,"Enclosed"
5,1959,433045,106828,"Enclosed"
5,1964,433045,106828,"Enclosed"
5,1984,433045,106828,"Enclosed"
5,1988,433045,106828,"Enclosed"
5,1996,433045,106828,"Enclosed"
5,2014,433045,106828,"Enclosed"
6,1954,433046,106804,"Enclosed"
6,1956,433046,106804,"Enclosed"
6,1958,433046,106804,"Enclosed"
6,1959,433046,106804,"Enclosed"
6,1964,433046,106804,"Enclosed"
6,1984,433046,106804,"Enclosed"
6,1988,433046,106804,"Enclosed"
6,1996,433046,106804,"Enclosed"
6,2014,433046,106804,"Enclosed"
7,1954,433045,106786,"Enclosed"
7,1956,433045,106786,"Enclosed"
7,1958,433045,106786,"Enclosed"
7,1959,433045,106786,"Enclosed"
7,1964,433045,106786,"Enclosed"
7,1984,433045,106786,"Enclosed"
7,1988,433045,106786,"Enclosed"
7,1996,433045,106786,"Enclosed"
7,2014,433045,106786,"Enclosed"
8,1954,433044,106773,"Enclosed"
8,1956,433044,106773,"Enclosed"
8,1958,433044,106773,"Enclosed"
8,1959,433044,106773,"Enclosed"
8,1964,433044,106773,"Enclosed"
8,1984,433044,106773,"Enclosed"
8,1988,433044,106773,"Enclosed"
8,1996,433044,106773,"Enclosed"
8,2014,433044,106773,"Enclosed"
9,1954,433047,106752,"Enclosed"
9,1956,433047,106752,"Enclosed"
9,1958,433047,106752,"Enclosed"
9,1959,433047,106752,"Enclosed"
9,1964,433047,106752,"Enclosed"
9,1984,433047,106752,"Enclosed"
9,1988,433047,106752,"Enclosed"
9,1996,433047,106752,"Enclosed"
9,2014,433047,106752,"Enclosed"
10,1954,433046,106730,"Enclosed"
10,1956,433046,106730,"Enclosed"
10,1958,433046,106730,"Enclosed"
10,1959,433046,106730,"Enclosed"
10,1964,433046,106730,"Enclosed"
10,1984,433046,106730,"Enclosed"
10,1988,433046,106730,"Enclosed"
10,1996,433046,106730,"Enclosed"
10,2014,433046,106730,"Enclosed"
11,1954,433044,106707,"Enclosed"
11,1956,433044,106707,"Enclosed"
11,1958,433044,106707,"Enclosed"
11,1959,433044,106707,"Enclosed"
11,1964,433044,106707,"Enclosed"
11,1984,433044,106707,"Enclosed"
11,1988,433044,106707,"Enclosed"
11,1996,433044,106707,"Enclosed"
11,2014,433044,106707,"Enclosed"
12,1954,433042,106687,"Enclosed"
12,1956,433042,106687,"Enclosed"
12,1958,433042,106687,"Enclosed"
12,1959,433042,106687,"Enclosed"
12,1964,433042,106687,"Enclosed"
12,1984,433042,106687,"Enclosed"
12,1988,433042,106687,"Enclosed"
12,1996,433042,106687,"Enclosed"
12,2014,433042,106687,"Enclosed"
13,1954,433035,106666,"Enclosed"
13,1956,433035,106666,"Enclosed"
13,1958,433035,106666,"Enclosed"
13,1959,433035,106666,"Enclosed"
13,1964,433035,106666,"Enclosed"
13,1984,433035,106666,"Enclosed"
13,1988,433035,106666,"Enclosed"
13,1996,433035,106666,"Enclosed"
13,2014,433035,106666,"Enclosed"
14,1954,433038,106647,"Enclosed"
14,1956,433038,106647,"Enclosed"
14,1958,433038,106647,"Enclosed"
14,1959,433038,106647,"Enclosed"
14,1964,433038,106647,"Enclosed"
14,1984,433038,106647,"Enclosed"
14,1988,433038,106647,"Enclosed"
14,1996,433038,106647,"Enclosed"
14,2014,433038,106647,"Enclosed"
15,1954,433036,106624,"Enclosed"
15,1956,433036,106624,"Enclosed"
15,1958,433036,106624,"Enclosed"
15,1959,433036,106624,"Enclosed"
15,1964,433036,106624,"Enclosed"
15,1984,433036,106624,"Enclosed"
15,1988,433036,106624,"Enclosed"
15,1996,433036,106624,"Enclosed"
15,2014,433036,106624,"Enclosed"
16,1954,433034,106602,"Enclosed"
16,1956,433034,106602,"Enclosed"
16,1958,433034,106602,"Enclosed"
16,1959,433034,106602,"Enclosed"
16,1964,433034,106602,"Enclosed"
16,1984,433034,106602,"Enclosed"
16,1988,433034,106602,"Enclosed"
16,1996,433034,106602,"Enclosed"
16,2014,433034,106602,"Enclosed"
17,1954,433028,106585,"Enclosed"
17,1956,433028,106585,"Enclosed"
17,1958,433028,106585,"Enclosed"
17,1959,433028,106585,"Enclosed"
17,1964,433028,106585,"Enclosed"
17,1984,433028,106585,"Enclosed"
17,1988,433028,106585,"Enclosed"
17,1996,433028,106585,"Enclosed"
17,2014,433028,106585,"Enclosed"
18,1954,433031,106571,"Enclosed"
18,1956,433031,106571,"Enclosed"
18,1958,433031,106571,"Enclosed"
18,1959,433031,106571,"Enclosed"
18,1964,433031,106571,"Enclosed"
18,1984,433031,106571,"Enclosed"
18,1988,433031,106571,"Enclosed"
18,1996,433031,106571,"Enclosed"
18,2014,433031,106571,"Enclosed"
19,1954,433024,106550,"Enclosed"
19,1956,433024,106550,"Enclosed"
19,1958,433024,106550,"Enclosed"
19,1959,433024,106550,"Enclosed"
19,1964,433024,106550,"Enclosed"
19,1984,433024,106550,"Enclosed"
19,1988,433024,106550,"Enclosed"
19,1996,433024,106550,"Enclosed"
19,2014,433024,106550,"Enclosed"
20,1954,433028,106531,"Enclosed"
20,1956,433028,106531,"Enclosed"
20,1958,433028,106531,"Enclosed"
20,1959,433028,106531,"Enclosed"
20,1964,433028,106531,"Enclosed"
20,1984,433028,106531,"Enclosed"
20,1988,433028,106531,"Enclosed"
20,1996,433028,106531,"Enclosed"
20,2014,433028,106531,"Enclosed"
21,1954,433029,106506,"Enclosed"
21,1956,433029,106506,"Enclosed"
21,1958,433029,106506,"Enclosed"
21,1959,433029,106506,"Enclosed"
21,1964,433029,106506,"Enclosed"
21,1984,433029,106506,"Enclosed"
21,1988,433029,106506,"Enclosed"
21,1996,433029,106506,"Enclosed"
21,2014,433029,106506,"Enclosed"
22,1954,433024,106486,"Enclosed"
22,1956,433024,106486,"Enclosed"
22,1958,433024,106486,"Enclosed"
22,1959,433024,106486,"Enclosed"
22,1964,433024,106486,"Enclosed"
22,1984,433024,106486,"Enclosed"
22,1988,433024,106486,"Enclosed"
22,1996,433024,106486,"Enclosed"
22,2014,433024,106486,"Enclosed"
23,1954,433024,106473,"Enclosed"
23,1956,433024,106473,"Enclosed"
23,1958,433024,106473,"Enclosed"
23,1959,433024,106473,"Enclosed"
23,1964,433024,106473,"Enclosed"
23,1984,433024,106473,"Enclosed"
23,1988,433024,106473,"Enclosed"
23,1996,433024,106473,"Enclosed"
23,2014,433024,106473,"Enclosed"
24,1954,433021,106451,"Enclosed"
24,1956,433021,106451,"Enclosed"
24,1958,433021,106451,"Enclosed"
24,1959,433021,106451,"Enclosed"
24,1964,433021,106451,"Enclosed"
24,1984,433021,106451,"Enclosed"
24,1988,433021,106451,"Enclosed"
24,1996,433021,106451,"Enclosed"
24,2014,433021,106451,"Enclosed"
25,1954,433013,106430,"Enclosed"
25,1956,433013,106430,"Enclosed"
25,1958,433013,106430,"Enclosed"
25,1959,433013,106430,"Enclosed"
25,1964,433013,106430,"Enclosed"
25,1984,433013,106430,"Enclosed"
25,1988,433013,106430,"Enclosed"
25,1996,433013,106430,"Enclosed"
25,2014,433013,106430,"Enclosed"
26,1954,433020,106404,"Enclosed"
26,1956,433020,106404,"Enclosed"
26,1958,433020,106404,"Enclosed"
26,1959,433020,106404,"Enclosed"
26,1964,433020,106404,"Enclosed"
26,1984,433020,106404,"Enclosed"
26,1988,433020,106404,"Enclosed"
26,1996,433020,106404,"Enclosed"
26,2014,433020,106404,"Enclosed"
27,1954,433009,106384,"Enclosed"
27,1956,433009,106384,"Enclosed"
27,1958,433009,106384,"Enclosed"
