Plot,Amanitacitrina,Amanitafulva,Amanitapantherina,Amanitarubescens,Boletusbadius,Boletusedulis,Boletusluridiformis,Cantharelluslutescens,Cantharelluscibarius,Cortinariusanomalus,Cortinariusbolaris,Cortinariusdecipiens,Cortinariusdelibutus,Cortinariusflexipes,Cortinariushinnuleus,Cortinariuspseudosalor,Cortinariussanguineus,Cortinariusscaurus,Craterelluscornucopiodes,Hebelomamesophaeum,Hydnumrepandum,Inocybecookei,Inocybeasterospora,Laccaria amethystea,Laccaria laccata,Lactariusblennius,Lactariuscamphoratus,Lactariuschrysorrheus,Lactariusquietus,Lactariussubdulcis,Lactariussubumbonatus,Lactariustabidus,Lactariusvellereus,Paxillusinvolutus,Russulaanthracina,Russulaaeruguinea,Russulaatropurpurea,Russulabetularum,Russulacyanoxantha,Russulaexalbicans,Russulafellea,Russulafragilis,Russulalutea,Russulamairei,Russulanigricans,Russulaochroleuca,Russulasororia,Russulavelenovskyi,Russulavirescens,Sclerodermacitrinum,Sclerodermabovista,Tricholomasciodes,Tricholomasulphureum,Tricholomaustale,Xerocomussubtomentosus,Xerocomelluscisalpinus,Sp_rich
1,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,1,,,,1,,,,,,1,9
2,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,1,8
3,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,5
4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
5,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,6
6,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,5
7,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
8,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,6
9,1,,,,1,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,1,,,,,1,,1,1,,,,1,,,,,,,,,,,,1,11
10,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,7
11,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,6
12,1,,,,,,,1,,,,,,1,,,,,,1,,,,1,,1,,,,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,11
13,,,,,,1,,1,,,,,,,,,1,,,,,,,1,,,1,,1,,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,,10
14,1,,,,,1,,1,1,,,,,,,,,,,,1,,,1,,,,1,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,10
15,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,6
16,1,,,,,,,,,1,,,,,,,1,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,8
17,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3
18,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4
19,1,,,1,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
20,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,3
21,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,3
22,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,4
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
27,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2
28,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3
29,,,,,,1,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
30,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,5
31,,,,1,1,1,,,,1,,,1,1,,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,13
23,1,,,1,,1,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,9
33,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,7
34,1,,,1,,1,1,,,1,,1,1,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,12
35,,,,1,1,,,,,1,,1,,,,,,,,,1,,,1,1,,,,,1,,,,,,,,1,1,,,,,1,,1,,,1,,,,,,,1,14
