"","lag","semi","No_pairs","Year"
"1",1,501.13924086468,25,1988
"2",2,159.576945168906,20,1988
"3",3,233.51259300845,31,1988
"4",4,393.856971276283,16,1988
"5",5,311.293429813191,32,1988
"6",6,326.575478493693,14,1988
"7",7,284.252328192719,25,1988
"8",8,253.895504848317,23,1988
"9",9,293.388873216115,19,1988
"10",10,358.470243889763,28,1988
"11",11,426.399462837511,15,1988
"12",12,209.556072928226,27,1988
"13",13,533.662462127317,14,1988
"14",14,291.352728560012,27,1988
"15",15,255.979861081902,13,1988
"16",16,173.825401869498,27,1988
"17",17,246.112316065834,15,1988
"18",18,189.949831607458,24,1988
"19",19,306.374251795395,17,1988
"20",20,344.979910599703,17,1988
"21",21,283.641150810097,25,1988
"22",22,503.966086789884,13,1988
"23",23,249.467347934437,26,1988
"24",24,291.200224935687,11,1988
"25",25,294.506669311291,23,1988
"26",26,383.337322333204,14,1988
"27",27,320.492910777044,19,1988
"28",28,401.593255207792,18,1988
"29",29,209.461313322043,12,1988
"30",30,295.674358338447,24,1988
"31",31,307.234637347055,7,1988
"32",32,251.432179142949,25,1988
"33",33,562.252188036864,9,1988
"34",34,220.044128927518,19,1988
"35",35,473.356777646547,13,1988
"36",36,167.540487293124,15,1988
"37",37,385.966405078365,14,1988
"38",38,249.17017475424,12,1988
"39",39,251.533452562446,18,1988
"40",40,50.1924477496274,6,1988
"41",41,314.696618038316,20,1988
"42",42,497.708413049991,6,1988
"43",43,206.549141467921,17,1988
"44",44,216.200497781839,9,1988
"45",45,460.694982794757,13,1988
"46",46,326.285404298394,13,1988
"47",47,429.301530253147,9,1988
"48",48,282.160408571882,17,1988
"49",49,284.104758221098,4,1988
"50",50,407.837535055962,18,1988
"51",51,512.705352632126,5,1988
"52",52,266.915046264503,15,1988
"53",53,437.722613067538,8,1988
"54",54,250.549225193821,10,1988
"55",55,380.202928299404,12,1988
"56",56,174.491173478824,6,1988
"57",57,355.244627827019,12,1988
"58",58,489.837824644625,6,1988
"59",59,455.400553948601,11,1988
"60",60,136.510073178684,5,1988
"61",61,519.206389026344,11,1988
"62",62,207.055987783468,3,1988
"63",63,213.943405800886,10,1988
"64",64,310.375379955362,6,1988
"65",65,224.770932045956,6,1988
"66",66,300.86415885266,8,1988
"67",67,615.326682021533,3,1988
"68",68,307.85438385423,7,1988
"69",69,533.038567386754,3,1988
"70",70,358.356245430179,8,1988
"71",71,491.108708000083,3,1988
"72",72,240.353712968002,6,1988
"73",73,496.493204267719,4,1988
"74",74,255.873194532216,3,1988
"75",75,660.107590618651,5,1988
"76",76,337.712234132592,5,1988
"77",77,129.001918482173,5,1988
"78",78,133.020670867446,5,1988
"79",79,571.371483647756,3,1988
"80",80,620.716299328282,2,1988
"81",81,586.94096436519,2,1988
