"","lag","semi","No_pairs","Year"
"1",1,41.74,25,1984
"2",2,25.325,20,1984
"3",3,54.0161290322581,31,1984
"4",4,48.3125,16,1984
"5",5,57.375,32,1984
"6",6,53.5,14,1984
"7",7,79.92,25,1984
"8",8,49.4347826086956,23,1984
"9",9,69.8684210526316,19,1984
"10",10,49.75,28,1984
"11",11,28.6666666666667,15,1984
"12",12,52.5740740740741,27,1984
"13",13,46.7857142857143,14,1984
"14",14,71.1111111111111,27,1984
"15",15,43.5384615384615,13,1984
"16",16,67.4814814814815,27,1984
"17",17,95,15,1984
"18",18,63.375,24,1984
"19",19,124.941176470588,17,1984
"20",20,89.7941176470588,17,1984
"21",21,68.26,25,1984
"22",22,86.2307692307692,13,1984
"23",23,76.1153846153846,26,1984
"24",24,59.5,11,1984
"25",25,98.5869565217391,23,1984
"26",26,63.4642857142857,14,1984
"27",27,73.2631578947368,19,1984
"28",28,48.4166666666667,18,1984
"29",29,103.75,12,1984
"30",30,83.2291666666667,24,1984
"31",31,82.1428571428571,7,1984
"32",32,127.28,25,1984
"33",33,41,9,1984
"34",34,116.789473684211,19,1984
"35",35,66.8076923076923,13,1984
"36",36,154.8,15,1984
"37",37,105.892857142857,14,1984
"38",38,81.2083333333333,12,1984
"39",39,73.2222222222222,18,1984
"40",40,60.1666666666667,6,1984
"41",41,100.75,20,1984
"42",42,50.1666666666667,6,1984
"43",43,128.294117647059,17,1984
"44",44,71.5555555555556,9,1984
"45",45,158.615384615385,13,1984
"46",46,100.115384615385,13,1984
"47",47,168.777777777778,9,1984
"48",48,99.5294117647059,17,1984
"49",49,274.5,4,1984
"50",50,100.222222222222,18,1984
"51",51,94,5,1984
"52",52,92.9666666666667,15,1984
"53",53,159,8,1984
"54",54,102.4,10,1984
"55",55,122.583333333333,12,1984
"56",56,109.916666666667,6,1984
"57",57,140.625,12,1984
"58",58,166.333333333333,6,1984
"59",59,179.045454545455,11,1984
"60",60,89.8,5,1984
"61",61,158.090909090909,11,1984
"62",62,152.166666666667,3,1984
"63",63,162.85,10,1984
"64",64,282.416666666667,6,1984
"65",65,97.3333333333333,6,1984
"66",66,205.375,8,1984
"67",67,139,3,1984
"68",68,207,7,1984
"69",69,184.166666666667,3,1984
"70",70,275.1875,8,1984
"71",71,176.333333333333,3,1984
"72",72,351.5,6,1984
"73",73,395.125,4,1984
"74",74,327.333333333333,3,1984
"75",75,446.2,5,1984
"76",76,387.3,5,1984
"77",77,358,5,1984
"78",78,333,5,1984
"79",79,312.833333333333,3,1984
"80",80,365,2,1984
"81",81,499.25,2,1984
