Name,Name in PLANTATT,Same,Woody,Hab_breadth,L,F,R,N,S
Agrostis spp,Agrostis gigantea,No,No,2,6.8571428571,6,4,3.7142857143,0.1428571429
Anemone nemorosa,Anemone nemorosa,Yes,h,2,5,6,5,4,0
Anthoxanthum odoratum,Anthoxanthum odoratum,Yes,h,6,7,6,4,3,0
Athyrium filix-femina,Athyrium filix-femina,Yes,h,2,5,7,5,6,0
Blechnum spicant,Blechnum spicant,Yes,h,4,5,6,3,3,0
Brachypodium sylvaticum,Brachypodium sylvaticum,Yes,h,1,6,5,6,5,0
Cardamine flexuosa,Cardamine flexuosa,Yes,h,1,5,7,6,6,0
Carex demissa,Carex davalliana,No,,,,,,,
Carex pilulifera,Carex pilulifera,Yes,h,1,7,5,3,2,0
Carex remota,Carex remota,Yes,h,1,4,8,6,6,0
Carex sylvatica,Carex sylvatica,Yes,h,1,4,5,6,5,0
Cerastium vulgatum,Cerastium tomentosum,No,h,2,7,5,5,4,0
Circaea lutetiana,Circaea lutetiana,Yes,h,1,4,6,7,6,0
Cirsium vulgare,Cirsium vulgare,Yes,h,4,7,5,6,6,0
Dactylis glomerata,Dactylis glomerata,Yes,h,2,7,5,7,6,0
Deschampsia cespitosa,Deschampsia cespitosa,Yes,h,2,6,6,5,4,0
Deschampsia flexuosa,Deschampsia flexuosa,Yes,h,2,6,5,2,3,0
Digitalis purpurea,Digitalis purpurea,Yes,h,2,6,6,4,5,0
Dryopteris austriaca,Dryopteris affinis,No,h,2,8,9,2,1,0
Dryopteris filix-mas,Dryopteris filix-mas,Yes,h,2,5,6,5,5,0
Dryopteris spinulosa,Dryopteris remota,No,h,1,6,8,5,4,0
Endymion nonscriptus,Empetrum nigrum,No,h,2,5,5,5,6,0
Epilibium montanum,Empetrum nigrum,No,h,3,6,6,6,6,0
Epilobium parviflorum,Epilobium parviflorum,Yes,h,1,7,9,7,5,0
Euphorbia amygdaliodes,Eupatorium cannabinum,No,h,1,4,5,6,6,0
Festuca ovina,Festuca ovina,Yes,h,2,7,5,4,2,0
Frangula alnus,Frangula alnus,Yes,w,1,6,8,5,5,0
Fraxinus excelsior,Fraxinus excelsior,Yes,w,1,5,6,7,6,0
Galium palustre,Galium palustre,Yes,h,1,7,9,5,4,0
Galium saxatile,Galium saxatile,Yes,h,2,6,6,3,3,0
Geum urbanum,Geum urbanum,Yes,h,1,4,6,7,7,0
Glyceria sp,Glyceria notata,No,h,1.8,7,9.8333333333,6.4,6.6,0
Hedera helix,Hedera helix,Yes,w,2,4,5,7,6,0
Holcus mollis,Holcus mollis,Yes,h,3,6,6,3,3,0
Hypericum androsaemum,Hypericum androsaemum,Yes,w,2,5,6,6,5,0
Juncus buffonius,Juncus biglumis,No,h,4,7,7,6,5,1
Juncus effusus,Juncus effusus,Yes,h,2,7,7,4,4,0
Lonicera periclymenum,Lonicera periclymenum,Yes,w,1,5,6,5,5,0
Lotus corniculatus,Lotus corniculatus,Yes,h,2,7,4,6,2,1
Luzula campestris,Luzula campestris,Yes,h,1,7,4,5,2,0
Luzula multiflora,Luzula multiflora,Yes,h,1,7,6,3,3,0
Luzula pilosa,Luzula pilosa,Yes,h,2,5,5,5,3,0
Lysimachia nemorum,Lysimachia nemorum,Yes,h,1,5,7,4,5,0
Malus sylvestris,Malus domestica,No,w,2,7,5,6,6,0
Molinia caerulea,Molinia caerulea,Yes,h,1,7,8,3,2,0
Oxalis acetosella,Oxalis acetosella,Yes,h,3,4,6,4,4,0
Poa annua,Poa annua,Yes,h,4,7,5,6,7,1
Poa trivialis,Poa trivialis,Yes,h,4,7,6,6,6,0
Polypodium vulgare,Polypodium vulgare,Yes,h,3,5,5,4,3,0
Potentilla erecta,Potentilla erecta,Yes,h,1,7,7,3,2,0
Pteridium aquilinum,Pteridium aquilinum,Yes,h,2,6,5,3,3,0
Ranunculus flammula,Ranunculus flammula,Yes,h,1,7,9,5,3,0
Ranunculus repens,Ranunculus repens,Yes,h,3,6,7,6,7,0
Rubus fruticosus,Rubus chamaemorus,No,w,2,6,6,6,6,0
Ruscus aculeatus,Ruscus aculeatus,Yes,w,2,4,5,4,4,0
Salix cinerea,Salix cinerea,Yes,w,2,7,8,6,5,0
Scutellaria minor,Scutellaria minor,Yes,h,1,7,9,4,2,0
Senecio sylvatica,Senecio squalidus,No,h,3,7,5,5,6,0
Sorbus aucuparia,Sorbus aucuparia,Yes,w,3,6,6,3,4,0
Stellaria alsine,Stachys sylvatica,No,h,3,7,5,5,6,0
Veronica chamaedrys,Veronica chamaedrys,Yes,h,3,6,5,6,5,0
Veronica officinalis,Veronica officinalis,Yes,h,2,6,5,4,4,0
Viola riviniana,Viola riviniana,Yes,h,3,6,5,5,4,0
Lotus pedunculatus,Lotus pedunculatus,Yes,h,1,7,8,6,4,0
Melampyrum pratense,Melampyrum pratense,Yes,h,2,5,5,2,3,0
Montia fontanum,Montia fontana,No,h,11,7,9,5,3,0
Polypodium interjectum,Polypodium interjectum,Yes,h,3,5,5,5,3,0
Ranunculus sarduous,Ranunculus sardous,No,h,3,8,7,6,7,2
Taraxacum officinalis agg,Taraxacum,No,h,3,7,5,7,6,1
Vaccinium myrtillus ,Vaccinium myrtillus,No,w,2,6,6,2,2,0
