Block,Year,BAM,BAFM,BAQM
1,1964,25.00,0.00,15.38
1,1984,29.19,0.00,17.62
1,1988,17.13,0.00,8.17
1,1996,15.57,0.00,6.91
1,2014,17.55,0.00,7.89
2,1964,35.30,14.64,12.88
2,1984,43.54,21.42,13.99
2,1988,44.68,22.11,14.09
2,1996,37.58,23.24,13.99
2,2014,46.02,30.09,14.72
3,1964,48.87,10.46,37.04
3,1984,53.00,13.99,38.47
3,1988,52.38,14.19,38.19
3,1996,43.59,13.99,29.39
3,2014,33.30,15.05,17.33
4,1964,73.19,37.47,33.78
4,1984,68.95,42.43,25.97
4,1988,65.16,42.05,23.12
4,1996,57.56,32.93,24.63
4,2014,34.49,4.72,29.77
5,1964,36.68,14.17,22.50
5,1984,41.17,16.81,24.37
5,1988,30.81,16.73,14.09
5,1996,7.33,7.33,0.00
5,2014,8.61,8.61,0.00
6,1964,37.17,37.17,0.00
6,1984,41.80,41.80,0.00
6,1988,41.94,41.94,0.00
6,1996,43.69,43.69,0.00
6,2014,47.67,47.67,0.00
7,1964,45.99,38.19,7.79
7,1984,8.73,7.12,0.00
7,1988,7.28,6.67,0.00
7,1996,0.82,0.00,0.00
8,1964,61.59,36.58,23.51
8,1984,29.14,0.00,28.46
8,1988,31.21,0.00,30.36
8,1996,35.60,0.00,34.45
8,2014,18.76,0.00,16.92
9,1964,36.39,26.79,8.74
9,1984,35.35,30.91,4.19
9,1988,36.21,31.26,4.71
9,1996,34.33,28.86,5.15
9,2014,43.11,35.82,6.81
10,1964,32.50,32.16,0.00
10,1984,18.25,18.25,0.00
10,1988,18.78,18.78,0.00
10,1996,19.36,19.36,0.00
10,2014,20.88,20.88,0.00
11,1964,45.59,16.77,27.64
11,1984,27.40,13.33,13.66
11,1988,27.60,14.04,13.56
11,1996,21.92,7.05,14.62
11,2014,28.08,11.14,16.50
12,1964,36.33,29.43,5.94
12,1984,39.43,31.59,6.95
12,1988,37.38,30.71,6.42
12,1996,43.94,36.61,7.33
12,2014,53.33,45.06,7.60
13,1964,42.15,30.57,11.34
13,1984,40.19,28.03,11.64
13,1988,38.51,27.26,11.25
13,1996,33.91,22.06,11.85
13,2014,42.31,30.12,12.19
14,1964,37.49,20.40,16.85
14,1984,44.33,24.46,19.25
14,1988,43.02,22.98,19.75
14,1996,40.12,19.71,19.97
14,2014,48.14,26.55,20.88
15,1964,59.13,22.01,37.11
15,1984,58.61,20.33,37.55
15,1988,40.73,1.84,38.22
15,1996,46.38,6.62,39.15
15,2014,50.92,8.90,40.95
16,1964,41.08,40.00,0.00
16,1984,15.27,14.41,0.00
16,1988,16.79,15.79,0.00
16,1996,18.62,18.12,0.00
16,2014,23.50,23.50,0.00
17,1964,53.44,52.97,0.00
17,1984,49.18,48.45,0.00
17,1988,46.54,46.08,0.00
17,1996,27.08,27.08,0.00
17,2014,28.40,28.40,0.00
18,1964,41.10,25.80,9.76
18,1984,37.30,26.71,10.35
18,1988,37.42,26.81,10.35
18,1996,42.30,31.49,10.81
18,2014,45.24,32.95,11.94
19,1964,32.88,25.30,2.61
19,1984,35.64,27.30,3.26
19,1988,35.57,27.00,3.50
19,1996,50.95,28.19,20.25
19,2014,60.24,33.13,23.86
20,1964,30.96,13.58,15.55
20,1984,34.39,19.26,14.93
20,1988,36.31,20.78,15.31
20,1996,39.85,24.02,15.83
20,2014,46.30,29.83,16.22
21,1964,72.90,14.51,56.56
21,1984,75.49,21.00,52.24
21,1988,75.20,21.97,51.12
21,1996,82.90,32.50,48.04
21,2014,91.55,40.46,49.70
22,1964,40.37,20.47,16.98
22,1984,29.40,26.52,0.00
22,1988,30.79,27.41,0.00
22,1996,26.55,24.46,0.00
22,2014,32.09,30.07,0.00
23,1964,34.99,21.76,12.57
23,1984,48.42,34.42,13.56
23,1988,49.65,35.21,13.99
23,1996,50.86,36.31,14.29
23,2014,49.82,33.89,15.93
24,1964,51.47,9.59,39.92
24,1984,54.14,11.40,40.43
24,1988,53.64,12.43,40.80
24,1996,55.24,14.20,41.04
24,2014,17.48,17.48,0.00
27,1964,20.08,11.72,6.83
27,1984,23.62,13.33,7.79
27,1988,21.67,12.18,7.55
27,1996,24.23,14.14,7.87
27,2014,30.06,17.93,8.61
28,1964,61.97,11.40,49.33
28,1984,69.50,14.72,52.47
28,1988,62.24,11.89,47.95
28,1996,69.94,8.26,59.71
28,2014,64.44,9.70,53.57
29,1964,25.60,9.17,15.90
29,1984,31.16,12.55,18.13
29,1988,26.37,6.29,19.60
29,1996,34.12,13.89,20.23
29,2014,37.60,18.63,18.51
30,1964,49.57,37.78,11.34
30,1984,24.70,11.32,12.44
30,1988,18.18,5.77,12.41
30,1996,6.15,6.15,0.00
30,2014,9.16,9.16,0.00
31,1964,53.08,43.08,9.35
31,1984,59.24,45.27,12.44
31,1988,40.84,27.17,12.04
31,1996,4.05,1.81,0.00
31,2014,16.11,5.37,9.89
32,1964,36.41,36.41,0.00
32,1984,41.38,41.38,0.00
32,1988,24.83,24.83,0.00
32,1996,18.97,18.97,0.00
32,2014,26.16,26.16,0.00
33,1964,63.82,47.30,14.19
33,1984,75.97,56.59,16.95
33,1988,45.42,43.88,0.00
33,1996,44.71,43.20,0.00
33,2014,47.99,47.99,0.00
