"Year","Group","no_of_plots","Prop_plot","BA","BA_perc","Grass_Cover","Sorensen","Spr","Light","Nit","Moist"
1996,1,17,0.38,"44.66(3.37)","12.77(2.8)","8.06(2.89)","0.21(0.05)","(0.77)","5.99(0.39)","3.41(0.24)","5.71(0.38)"
1996,2,8,0.18,"48.36(5.17)","-14.23(2.69)","18(9.02)","0.07(0.03)","(1.01)","6.51(0.14)","3.06(0.12)","6.17(0.27)"
1996,3,13,0.29,"31.21(3.08)","-37.95(1.86)","36.85(8.48)","0.12(0.05)","(0.79)","6.17(0.52)","3.09(0.27)","5.77(0.51)"
1996,4,4,0.09,"15.93(3.07)","-59.82(4.56)","39(16.66)","0.02(0.02)","(1.93)","6.59(0.1)","3.62(0.09)","6.11(0.13)"
1996,5,3,0.07,"5.26(0.63)","-88.74(1.86)","82(1)","0.03(0.02)","(1.15)","6.78(0.01)","3.73(0.03)","6(0.01)"
2014,1,18,0.4,"49.31(3.26)","23.74(3.73)","6.39(2.03)","0.12(0.03)","(1.14)","5.92(0.37)","3.19(0.23)","5.61(0.36)"
2014,2,5,0.11,"46.03(7.31)","-11.89(5.23)","17.7(5.9)","0.04(0.02)","(1.62)","6.55(0.13)","3.32(0.19)","5.79(0.11)"
2014,3,13,0.29,"28.58(2.36)","-35.67(1.91)","32.38(8.77)","0.09(0.05)","(1.01)","6.62(0.09)","3.25(0.15)","6.24(0.22)"
2014,4,7,0.16,"22.65(3.81)","-62.76(2.86)","39.5(14.67)","0.08(0.03)","(2.09)","6.44(0.12)","3.7(0.38)","6.35(0.31)"
2014,5,2,0.04,"8.88(0.28)","-80.15(1.37)","100.75(0.25)","0.01(0)","(2)","6.85(0)","3.16(0.19)","6.69(0.23)"
