"Block","Year","Group","BAPERCM","Trans","Time1"
1,1984,1,0.167654912432263,"1-1",1
2,1984,1,0.233245828698554,"1-1",1
3,1984,1,0.0843836882282042,"1-1",1
4,1984,2,-0.0578518538391371,"1-2",1
5,1984,1,0.145602003048117,"1-1",1
6,1984,1,0.12471523668639,"1-1",1
7,1984,5,-0.845258753202391,"1-5",1
8,1984,4,-0.526882810507524,"1-4",1
9,1984,2,-0.0287423792824385,"1-2",1
10,1984,3,-0.438491842900302,"1-3",1
11,1984,3,-0.398981481481481,"1-3",1
12,1984,1,0.0854180403177864,"1-1",1
13,1984,2,-0.0464265915073024,"1-2",1
14,1984,1,0.182347164573868,"1-1",1
15,1984,2,-0.00864033740421236,"1-2",1
16,1984,4,-0.628264200097994,"1-4",1
17,1984,2,-0.0795939776412123,"1-2",1
18,1984,2,-0.0925065685759328,"1-2",1
19,1984,1,0.083977069150842,"1-1",1
20,1984,1,0.0923341367499682,"1-1",1
21,1984,1,0.0356213384331526,"1-1",1
22,1984,3,-0.271810399338489,"1-3",1
23,1984,1,0.383857916444544,"1-1",1
24,1984,1,0.0519464367465282,"1-1",1
27,1984,1,0.176667237205663,"1-1",1
28,1984,1,0.121547223916539,"1-1",1
29,1984,1,0.21744803252282,"1-1",1
30,1984,4,-0.501711207707465,"1-4",1
31,1984,1,0.116210312138728,"1-1",1
32,1984,1,0.136505479987598,"1-1",1
33,1984,1,0.19023034386224,"1-1",1
34,1984,5,-0.85133868176813,"1-5",1
35,1984,1,0.0649281840779982,"1-1",1
36,1984,1,0.00563136203386457,"1-1",1
37,1984,1,0.0325399818423075,"1-1",1
38,1984,2,-0.00622433200273315,"1-2",1
39,1984,2,-0.139134610879445,"1-2",1
40,1984,1,0.0793517540445877,"1-1",1
41,1984,1,0.0288319688402438,"1-1",1
42,1984,2,-0.146847161572052,"1-2",1
43,1984,2,-0.22351632724248,"1-2",1
46,1984,1,0.00611054833737064,"1-1",1
47,1984,1,0.0623452034789101,"1-1",1
48,1984,2,-0.0324145888594164,"1-2",1
49,1984,1,0.0922290029280321,"1-1",1
50,1984,1,0.149953114845418,"1-1",1
1,1988,3,-0.31498704154559,"1-3",1
2,1988,1,0.26557786429366,"1-1",1
3,1988,1,0.0717440739252711,"1-1",1
4,1988,2,-0.109641036647529,"2-2",2
5,1988,1,0.138865665142608,"1-1",1
6,1988,1,0.128412404902789,"1-1",1
7,1988,5,-0.854872331340734,"5-5",5
8,1988,3,-0.49329922213721,"4-3",4
9,1988,2,-0.00490855138926359,"2-2",2
10,1988,3,-0.422064048338369,"3-3",3
11,1988,3,-0.394574504737295,"3-3",3
12,1988,1,0.0290147543641572,"1-1",1
13,1988,2,-0.0863157159162376,"2-2",2
14,1988,1,0.147536433032616,"1-1",1
15,1988,3,-0.31119760230471,"2-3",2
16,1988,4,-0.59115859415146,"4-4",4
17,1988,2,-0.129121356592352,"2-2",2
18,1988,2,-0.089665599770697,"2-2",2
19,1988,1,0.0818864206377643,"1-1",1
20,1988,1,0.149160218191044,"1-1",1
21,1988,1,0.0315968808500896,"1-1",1
22,1988,2,-0.237196361690744,"3-2",3
23,1988,1,0.41907410005331,"1-1",1
24,1988,1,0.0423134442240196,"1-1",1
27,1988,1,0.0794043572878205,"1-1",1
28,1988,1,0.00442684115051599,"1-1",1
29,1988,1,0.0303267622919386,"1-1",1
30,1988,4,-0.633369837513491,"4-4",4
31,1988,2,-0.230614196531792,"1-2",1
32,1988,3,-0.318129928955634,"1-3",1
33,1988,3,-0.288414511278774,"1-3",1
34,1988,5,-0.942761099212255,"5-5",5
35,1988,3,-0.403257183383121,"1-3",1
36,1988,4,-0.620305377625503,"1-4",1
37,1988,1,0.0534206299322579,"1-1",1
38,1988,1,0.012191894127378,"2-1",2
