"","Block","Year","BA","Transect","Northing","Easting","Year2"
"1",1,1959,26.2931670151381,"Enclosed",106909,433056,-25.2441860465117
"2",1,2014,26.8313856205043,"Enclosed",106909,433056,29.7558139534883
"3",1,1964,26.9018505917711,"Enclosed",106909,433056,-20.2441860465117
"4",1,1988,26.8299081200039,"Enclosed",106909,433056,3.75581395348831
"5",1,1984,29.192758859631,"Enclosed",106909,433056,-0.244186046511686
"6",1,1996,26.847501038864,"Enclosed",106909,433056,11.7558139534883
"7",2,2014,46.0154847347361,"Enclosed",106885,433058,29.7558139534883
"8",2,1959,31.7713192048353,"Enclosed",106885,433058,-25.2441860465117
"9",2,1988,44.6795147348591,"Enclosed",106885,433058,3.75581395348831
"10",2,1996,41.82565269843,"Enclosed",106885,433058,11.7558139534883
"11",2,1964,35.3036474447153,"Enclosed",106885,433058,-20.2441860465117
"12",2,1984,43.5380759490395,"Enclosed",106885,433058,-0.244186046511686
"13",3,1988,65.9041539724199,"Enclosed",106868,433049,3.75581395348831
"14",3,2014,47.1879504978821,"Enclosed",106868,433049,29.7558139534883
"15",3,1964,65.5395132401086,"Enclosed",106868,433049,-20.2441860465117
"16",3,1996,43.5856318078332,"Enclosed",106868,433049,11.7558139534883
"17",3,1959,55.1864928249738,"Enclosed",106868,433049,-25.2441860465117
"18",3,1984,66.521869627932,"Enclosed",106868,433049,-0.244186046511686
"19",4,1959,67.9251601614283,"Enclosed",106848,433053,-25.2441860465117
"20",4,1988,68.9000159967913,"Enclosed",106848,433053,3.75581395348831
"21",4,1996,67.760717420967,"Enclosed",106848,433053,11.7558139534883
"22",4,1964,73.1873278561912,"Enclosed",106848,433053,-20.2441860465117
"23",4,2014,50.6307693602236,"Enclosed",106848,433053,29.7558139534883
"24",4,1984,74.8615807560596,"Enclosed",106848,433053,-0.244186046511686
"25",5,1996,17.4806461926452,"Enclosed",106828,433045,11.7558139534883
"26",5,1984,41.1730260945549,"Enclosed",106828,433045,-0.244186046511686
"27",5,1964,36.6761307352523,"Enclosed",106828,433045,-20.2441860465117
"28",5,1988,40.9907744507385,"Enclosed",106828,433045,3.75581395348831
"29",5,1959,33.7984907694263,"Enclosed",106828,433045,-25.2441860465117
"30",5,2014,16.7247989051882,"Enclosed",106828,433045,29.7558139534883
"31",6,1984,49.5932012645226,"Enclosed",106804,433046,-0.244186046511686
"32",6,1959,51.1235299509484,"Enclosed",106804,433046,-25.2441860465117
"33",6,1988,41.9374933968978,"Enclosed",106804,433046,3.75581395348831
"34",6,2014,47.6725278787995,"Enclosed",106804,433046,29.7558139534883
"35",6,1996,43.6863394873349,"Enclosed",106804,433046,11.7558139534883
"36",6,1964,55.3882419781965,"Enclosed",106804,433046,-20.2441860465117
"37",7,1984,40.8396442091467,"Enclosed",106786,433045,-0.244186046511686
"38",7,1988,21.4190841878639,"Enclosed",106786,433045,3.75581395348831
"39",7,1959,43.0893976132446,"Enclosed",106786,433045,-25.2441860465117
"40",7,2014,7.28790426214327,"Enclosed",106786,433045,29.7558139534883
"41",7,1996,17.3750690445305,"Enclosed",106786,433045,11.7558139534883
"42",7,1964,45.9850624669206,"Enclosed",106786,433045,-20.2441860465117
"43",8,1959,60.8133797918644,"Enclosed",106773,433044,-25.2441860465117
